competitor,first_year_compass_market_share_volume_exceeded_competitor,compass_share_that_year,competitor_share_that_year
Keller Williams,2020,0.11564435120526345,0.08236012350779454
Coldwell Banker,2020,0.11564435120526345,0.08742169940050042
RE/MAX,2019,0.08431366522209044,0.06207994166055848
Berkshire Hathaway,2018,0.05483861556315016,0.04133143572187547
Century 21,2017,0.04244932701202139,0.03942532542452572
Sotheby's,2018,0.05483861556315016,0.04313239030163881
eXp,2015,0.035903405676315586,0.0006945936041665736
Redfin,2015,0.035903405676315586,0.0021327787532108037
