close_year,brokerage,listing_sides,listing_volume,close_price_missing,total_listing_sides,total_listing_volume,market_share_sides,market_share_volume
2015,Compass,2749,4634862111.0,4,192792,129092547731.69,0.014258890410390473,0.035903405676315586
2015,Keller Williams,15007,9912599448.0,2,192792,129092547731.69,0.07784036682020001,0.0767867674949189
2015,Coldwell Banker,17080,15031141841.0,4,192792,129092547731.69,0.08859288767168762,0.11643694469677054
2015,RE/MAX,14359,8704835386.0,0,192792,129092547731.69,0.07447923150338188,0.06743096746446126
2015,Berkshire Hathaway,6804,5894541435.0,0,192792,129092547731.69,0.035291920826590314,0.045661361082216766
2015,Century 21,12933,5658360931.0,1,192792,129092547731.69,0.06708265903149509,0.0438318170213862
2015,Sotheby's,4073,5579801384.0,0,192792,129092547731.69,0.021126395286111457,0.0432232648750355
2015,eXp,132,89666858.0,0,192792,129092547731.69,0.0006846757126851736,0.0006945936041665736
2015,Redfin,442,275325843.0,0,192792,129092547731.69,0.0022926262500518693,0.0021327787532108037
2015,Others,119213,73311412494.69,6,192792,129092547731.69,0.6183503464874062,0.5678980993315179
2016,Compass,3116,5314795509.0,7,196149,136636596723.01001,0.01588588267082677,0.03889730596682062
2016,Keller Williams,16433,11388421153.79,1,196149,136636596723.01001,0.08377814824444682,0.0833482494948014
2016,Coldwell Banker,16543,14425580972.0,4,196149,136636596723.01001,0.0843389464131859,0.10557626081132251
2016,RE/MAX,15214,9424893154.4,0,196149,136636596723.01001,0.07756348490178384,0.06897780960913541
2016,Berkshire Hathaway,7162,6211296605.0,0,196149,136636596723.01001,0.03651305895008387,0.04545851370692109
2016,Century 21,12357,5651686936.0,0,196149,136636596723.01001,0.06299802701007907,0.041362907680268936
2016,Sotheby's,4154,5800715470.25,1,196149,136636596723.01001,0.021177778117655456,0.042453600348442685
2016,eXp,167,128863791.0,0,196149,136636596723.01001,0.0008513935834493166,0.0009431132953438013
2016,Redfin,729,477932143.0,0,196149,136636596723.01001,0.003716562409188933,0.0034978340683416245
2016,Others,120274,77812410988.57,9,196149,136636596723.01001,0.6131767176993,0.5694844050186019
2017,Compass,3440,6335587603.0,2,199434,149250601810.62,0.017248814144027597,0.04244932701202139
2017,Keller Williams,17380,13012301251.38,0,199434,149250601810.62,0.08714662494860455,0.08718424645209104
2017,Coldwell Banker,16769,15172899608.27,0,199434,149250601810.62,0.0840829547619764,0.10166055898067652
2017,RE/MAX,15360,9876488547.0,0,199434,149250601810.62,0.07701796082914648,0.06617386078973407
2017,Berkshire Hathaway,7223,6558148458.71,1,199434,149250601810.62,0.03621749551229981,0.04394051601233377
2017,Century 21,12117,5884253546.190001,1,199434,149250601810.62,0.06075694214627395,0.03942532542452572
2017,Sotheby's,4344,6432245078.99,1,199434,149250601810.62,0.02178164204699299,0.04309694568033769
2017,eXp,221,152906983.0,0,199434,149250601810.62,0.0011081360249506102,0.001024498267645309
2017,Redfin,1102,776648545.0,0,199434,149250601810.62,0.005525637554278608,0.005203654361042163
2017,Others,121478,85049122189.08,4,199434,149250601810.62,0.609113792031449,0.5698410670195924
2018,Compass,4393,8189339201.0,1,186904,149335265248.8,0.02350404485725292,0.05483861556315016
2018,Keller Williams,16101,12678821017.5,0,186904,149335265248.8,0.08614582887471643,0.08490172094566178
2018,Coldwell Banker,16081,15636998232.85,2,186904,149335265248.8,0.08603882206908359,0.10471068710259417
2018,RE/MAX,13813,9308572288.67,0,186904,149335265248.8,0.07390425031031973,0.06233338303020024
2018,Berkshire Hathaway,6363,6172240916.64,0,186904,149335265248.8,0.03404421521208749,0.04133143572187547
2018,Century 21,10952,5552646854.81,0,186904,149335265248.8,0.05859692676454222,0.03718242201906572
2018,Sotheby's,4121,6441186946.51,0,186904,149335265248.8,0.02204875230064632,0.04313239030163881
2018,eXp,957,715159379.0,0,186904,149335265248.8,0.00512027564953131,0.004788951744308411
2018,Redfin,1599,1176170296.0,0,186904,149335265248.8,0.008555194110345417,0.007876038483210524
2018,Others,112524,83464130115.81999,1,186904,149335265248.8,0.6020416898514745,0.5589043550882947
